disno.,disaster.subgroup,location,states
2000-0276-MEX,Hydrological,"Distrito Federal, Veracruz, Chiapas, Tabasco, Zacatecas provinces","Chiapas, Distrito Federal, Tabasco, Veracruz, Zacatecas"
2000-0317-MEX,Hydrological,Chalco district (Mexico province),Mexico
2000-0333-MEX,Hydrological,"Acatlan de Perez Figueroa city (Tuxtepec district, Oaxaca province)",Oaxaca
2000-0611-MEX,Meteorological,"Chiapas, Veracruz, Guerrero provinces","Chiapas, Guerrero, Veracruz"
2000-0643-MEX,Meteorological,"Puebla, Campeche, Quintana Roo, Yucatan, Veracruz, Chiapas, Oaxaca, Tabasco, Tamaulipas provinces","Campeche, Chiapas, Oaxaca, Puebla, Quintana Roo, Tabasco, Tamaulipas, Veracruz, Yucatan"
2000-0804-MEX,Geophysical,"Mexico, Puebla, Morelos provinces","Mexico, Morelos, Puebla"
2000-0827-MEX,Meteorological,Chihuahua province,Chihuahua
2001-0488-MEX,Meteorological,"Guerrero, Chiapas provinces","Chiapas, Guerrero"
2001-0559-MEX,Hydrological,"Cacahoatan, Tapachula districts (Chiapas province)",Chiapas
2001-0562-MEX,Meteorological,Baja California Sur province,"Baja California, Baja California Sur"
2001-0570-MEX,Meteorological,Oaxaca province,Oaxaca
2001-0735-MEX,Meteorological,Quintana Roo province,Quintana Roo
2002-0072-MEX,Geophysical,"La Yerbabuena village (Cuauhtemoc district, Colima province)",Colima
2002-0510-MEX,Hydrological,"Guadiana, Alberto Carrera Tores, La Ventilla areas (Villa de Reyes district, San Luis Potosi province), Las Rusias area (Zaragoya district, San Luis Potosi province), Carranca area (Sans Luis Potosi district, Sans Luis Potosi province), Capulin dam (Villa Garcia district, Zacatecas province), Hidalgo borough (Tehuantepec city, Juchitan district, Oaxaxa province), Canadas de Obregon district (Jalisco province), Durango province","Durango, Hidalgo, Jalisco, San Luis Potosi, Zacatecas"
2002-0609-MEX,Meteorological,"Campeche, Quintana Roo, Yucatan provinces","Campeche, Quintana Roo, Yucatan"
2002-0638-MEX,Hydrological,"Nuevo Leon, Tamaulipas provinces","Nuevo Leon, Tamaulipas"
2002-0647-MEX,Meteorological,Acapulco De Juarez district (Guerrero province),Guerrero
2002-0669-MEX,Meteorological,"Nayarit, Jalisco, Sinaloa, Colima provinces","Colima, Jalisco, Nayarit, Sinaloa"
2002-0805-MEX,Meteorological,"Chihuahua, Sonora, Baja California, Baja California Sur provinces","Baja California, Baja California Sur, Chihuahua, Sonora"
2002-9292-MEX,Climatological,"Baja California, Coahuila, Tamaulipas, Veracruz, Sinaloa, Tlaxcala, Sonora, San Luis Potosi provinces","Baja California, Coahuila, San Luis Potosi, Sinaloa, Sonora, Tamaulipas, Tlaxcala, Veracruz"
2003-0039-MEX,Geophysical,"Colima, Armeria, Coquimatlan, Ixtlahuacan, Cuahutemoc, Villa de Alvarez, Manzanillo, Minatitlan, Tecoman districts (Colima province), Zapotitlan de Vadillo, Toliman, Tonila, Pihuamo districts (Jalisco province)","Colima, Jalisco"
2003-0436-MEX,Hydrological,"Santa Maria Chilchotla, Santa Ana Ateixtlahuaca, Eloxochitlan municipalities (Teotitlan district, Oaxaca province)",Oaxaca
2003-0474-MEX,Meteorological,"Sonora, Sinaloa, Nayarit, Jalisco, Colima, Baja California Sur, Baja California provinces","Baja California, Baja California Sur, Colima, Jalisco, Nayarit, Sinaloa, Sonora"
2003-0482-MEX,Hydrological,"Queretaro, Guanajuato, Jalisco, Michoacan, Veracruz, Oaxaca, Sonora, Nuevo Leon, Durango, Puebla, Zacatecas, Baja California Sur, Chiapas, Nayarit, Mexico, Tabasco provinces","Baja California, Baja California Sur, Chiapas, Durango, Guanajuato, Jalisco, Mexico, Michoacan, Nayarit, Nuevo Leon, Oaxaca, Puebla, Queretaro, Sonora, Tabasco, Veracruz, Zacatecas"
2003-0518-MEX,Climatological,"Baja California, Chihuahua, Sonora provinces","Baja California, Chihuahua, Sonora"
2003-0622-MEX,Meteorological,"Chihuahua, Puebla, Nuevo Leon, Hidalgo, Sonora, Durango, San Luis Potosi, Tlaxcala provinces","Chihuahua, Durango, Hidalgo, Nuevo Leon, Puebla, San Luis Potosi, Sonora, Tlaxcala"
2003-0688-MEX,Meteorological,"La Paz, Agua Escondida areas (La Paz district, Baja California Sur province), Ciudad Constitucion area (Comondu district, Baja California Sur province)","Baja California, Baja California Sur"
2003-0710-MEX,Hydrological,Puebla province,Puebla
2003-0712-MEX,Hydrological,Nogales district (Veracruz province),Veracruz
2004-0141-MEX,Hydrological,"Villa de Fuentes area (Piedras Negras district, Coahuila province), San Juan de Sabinas, Zaragoza districts (Coahuila province)",Coahuila
2004-0259-MEX,Hydrological,Cozumel district (Quintana Roo province),Quintana Roo
2004-0601-MEX,Meteorological,Chihuahua province,Chihuahua
2005-0283-MEX,Hydrological,"District of Ocotlan, District Del Centro districts (Oaxaca province)",Oaxaca
2005-0382-MEX,Meteorological,"Playa del Carmen, Cozumel areas (Cozumel district, Quintana Roo province), Merida, Tizimin districts (Yucatan province)","Quintana Roo, Yucatan"
2005-0470-MEX,Hydrological,"Veracruz, Michoacan, Oaxaca, Puebla provinces","Michoacan, Oaxaca, Puebla, Veracruz"
2005-0524-MEX,Meteorological,"Naranjal, Chinampa De Gorostiza districts (Veracruz province)",Veracruz
2005-0567-MEX,Meteorological,"Chiapas, Oaxaca, Veracruz, Puebla, Hidalgo, Tabasco provinces","Chiapas, Hidalgo, Oaxaca, Puebla, Tabasco, Veracruz"
2005-0585-MEX,Meteorological,"Benito Juarez, Isla Mujeres, Cozumel districts (Quintana Roo province)",Quintana Roo
2005-0601-MEX,Hydrological,"Chiapas, Oaxaca provinces","Chiapas, Oaxaca"
2006-0407-MEX,Hydrological,"Santa Maria Chilchotla municipality (Teotitlan district, Oaxaca state)",Oaxaca
2006-0413-MEX,Hydrological,Juarez district (Chihuahua province),Chihuahua
2006-0483-MEX,Meteorological,"Comondu, La Paz districts (Baja California Sur province)","Baja California, Baja California Sur"
2006-0498-MEX,Hydrological,"Chalchihuitillo village (Mezquital district, Durango province)",Durango
2006-0505-MEX,Meteorological,"Culiacan, Elota, Mazatlan, Escuinapa, El Rosario, San Ignacio, Salvador Alvarado, Concordia, Cosala districts (Sinaloa province)",Sinaloa
2006-0604-MEX,Meteorological,"La Reforma area (Culiacan district, Sinaloa province)",Sinaloa
2006-0709-MEX,Meteorological,"Aguascalientes, Baja California, Baja California Sur, Campeche, Chiapas, Chihuahua, Coahuila, Colima, Distrito Federal, Durango, Guanajuato, Guerrero, Hidalgo, Jalisco, Mexico, Michoacan, Morelos, Nayarit, Nuevo Leon, Oaxaca, Puebla, Queretaro, Quintana Roo, San Luis Potosi, Sinaloa, Sonora, Tabasco, Tamaulipas, Tlaxcala, Veracruz, Yucatan, Zacatecas provinces","Aguascalientes, Baja California, Baja California Sur, Campeche, Chiapas, Chihuahua, Coahuila, Colima, Distrito Federal, Durango, Guanajuato, Guerrero, Hidalgo, Jalisco, Mexico, Michoacan, Morelos, Nayarit, Nuevo Leon, Oaxaca, Puebla, Queretaro, Quintana Roo, San Luis Potosi, Sinaloa, Sonora, Tabasco, Tamaulipas, Tlaxcala, Veracruz, Yucatan, Zacatecas"
2007-0360-MEX,Meteorological,"Yucatan, Quintana Roo, Campeche, Veracruz, Hidalgo, Puebla provinces","Campeche, Hidalgo, Puebla, Quintana Roo, Veracruz, Yucatan"
2007-0435-MEX,Hydrological,"El Higo area (Temporal district, Veracruz province), Panuco, Pueblo Viejo districts (Veracruz province), Altamira, Tampico districts (Tamaulipas province)","Tamaulipas, Veracruz"
2007-0439-MEX,Meteorological,"Veracruz, Tamaulipas, San Luis Potosi provinces","San Luis Potosi, Tamaulipas, Veracruz"
2007-0464-MEX,Meteorological,"Veracruz, Puebla provinces","Puebla, Veracruz"
2007-0521-MEX,Hydrological,"Huitiupan, Ixhuatan, Ixtacomitan, Juarez, Ocotepec, Ostuacan, Pantepec, Pichucalco, Reforma, Solosuchiapa districts (Chiapas province), Tabasco province","Chiapas, Tabasco"
2007-0537-MEX,Hydrological,"San Juan Grijalva village (Ostuacan district, Chiapas province)",Chiapas
2007-0671-MEX,Meteorological,"Acapulco De Juarez district (Guerrero province), Oaxaca, Michoacan, Colima, Jalisco provinces","Colima, Guerrero, Jalisco, Michoacan, Oaxaca"
2008-0288-MEX,Hydrological,"Hidalgo, Tamaulipas, Zacatecas, Tabasco, Veracruz, Oaxaca provinces","Hidalgo, Oaxaca, Tabasco, Tamaulipas, Veracruz, Zacatecas"
2008-0304-MEX,Meteorological,"Tamaulipas, Veracruz, Yucatan, San Luis Potosi, Nuevo Leon, Coahuila provinces","Coahuila, Nuevo Leon, San Luis Potosi, Tamaulipas, Veracruz, Yucatan"
2008-0433-MEX,Hydrological,"Huautla de Jimenez municipality (Teotitlan district, Oaxaca state)",Oaxaca
2009-0367-MEX,Hydrological,"Tlalnepantla de Baz, Atizapen De Zaragoza districts (Mexico province)",Mexico
2009-0377-MEX,Hydrological,"Xalapa, Huatusco, Cordoba, Orizaba, Coatepec, Xico, Teocelo, Perote districts (Veracruz province)",Veracruz
2009-0384-MEX,Meteorological,"Loreto district (Zacatecas province), Comondu, Mulege, Baja California Sur districts (Baja California Sur province)","Baja California, Baja California Sur, Zacatecas"
2009-0477-MEX,Meteorological,Tabasco province,Tabasco
2009-0515-MEX,Hydrological,Tabasco province,Tabasco
2009-0561-MEX,Hydrological,"Ecatepec, Coacalco, Tultitlan district (Mexico district)",Mexico
2009-0594-MEX,Biological,"Tabasco, Veracruz, Quintana Roo, Nayarit, Jalisco, Guerrero","Guerrero, Jalisco, Nayarit, Quintana Roo, Tabasco, Veracruz"
2009-0614-MEX,Hydrological,"Chiquihuitlan de Benito Juarez, Cuyamecalco Villa de Zaragoza, San Andres Teotilalpam, San Juan Bautista Tlacoatzintepec, San Pedro Teutila, Santa Maria Tlalixtac area (Cuicatlan district, Oaxaca province), San Bartolome Ayautla, San Juan Coatzospam, Teotitlan de Flores Magan areas (Teotitlan district, Oaxaca province), San Felipe Jalapa de Diaz, San Felipe Usila, San Lucas Ojitlan, San Pedro Ixcatlan areas (Tuxtepec district, Oaxaca province)",Oaxaca
2010-0058-MEX,Hydrological,"Distrito Federal, Mexico city, Michoacan provinces","Distrito Federal, Mexico, Michoacan"
2010-0158-MEX,Geophysical,Mexicali district (Baja California province),Baja California
2010-0260-MEX,Meteorological,"Nuevo Leon, Coahuila, Tamaulipas, Oaxaca provinces","Coahuila, Nuevo Leon, Oaxaca, Tamaulipas"
2010-0426-MEX,Meteorological,"Oaxaca, Tabasco, Veracruz provinces","Oaxaca, Tabasco, Veracruz"
2010-0467-MEX,Hydrological,"Oaxaca, Guerrero, Veracruz, Tabasco, Chiapas provinces","Chiapas, Guerrero, Oaxaca, Tabasco, Veracruz"
2010-0494-MEX,Meteorological,"Campeche, Veracruz, Tabasco, Puebla provinces","Campeche, Puebla, Tabasco, Veracruz"
2010-0496-MEX,Hydrological,Villa Guerrero district (Mexico province),"Guerrero, Mexico"
2010-0503-MEX,Meteorological,"Chiapas, Veracruz, Tabasco, Oaxaca, Nuevo León provinces","Chiapas, Oaxaca, Tabasco, Veracruz"
2010-0510-MEX,Hydrological,"Santa Maria Tlahuitoltepec municipality (Mixe district, Oaxaca province) ; Oaxaca, Chiapas provinces","Chiapas, Oaxaca"
2011-0105-MEX,Meteorological,"Sinaloa, Sonora, Tamaulipas provinces","Sinaloa, Sonora, Tamaulipas"
2011-0161-MEX,Climatological,"Acuna, Muzquiz, Ocampo, Arteaga districts (Coahuila province)",Coahuila
2011-0228-MEX,Meteorological,"Guerrero, Colima, Jalisco, Michoacan, Oaxaca provinces","Colima, Guerrero, Jalisco, Michoacan, Oaxaca"
2011-0241-MEX,Meteorological,"Isla, Tamalin, Tamiahua, Tampico Alto districts (Veracruz province)",Veracruz
2011-0267-MEX,Meteorological,"Guerrero, Oaxaca provinces","Guerrero, Oaxaca"
2011-0385-MEX,Meteorological,"Puerto Vallarta district (Jalisco province), Manzanillo district (Colima province), Michoacan, Nayarit provinces","Colima, Jalisco, Michoacan, Nayarit"
2011-0392-MEX,Hydrological,Tabasco province,Tabasco
2011-0460-MEX,Meteorological,Tabasco province,Tabasco
2011-0512-MEX,Geophysical,Guerrero province,Guerrero
2011-0589-MEX,Hydrological,"Choapam, Jamiltepec, Juchitan, Juquila, Pochutla, Tuxtepec, Juchitan districts (Oaxaca province)",Oaxaca
2011-0633-MEX,Hydrological,Cuantitlan district (Jalisco province),Jalisco
2011-9363-MEX,Climatological,"Nuevo Leon, Guanajuato, Sonora, Chihuahua, Coahuila, Durango, Zacatecas, San Luis Potosi provinces","Chihuahua, Coahuila, Durango, Guanajuato, Nuevo Leon, San Luis Potosi, Sonora, Zacatecas"
2012-0124-MEX,Geophysical,"Guerrero, Oaxaca, Mexico provinces","Guerrero, Mexico, Oaxaca"
2012-0276-MEX,Meteorological,"Tabasco, Veracruz, Guerrero, Quintana Roo, Puebla, Oaxaca provinces","Guerrero, Oaxaca, Puebla, Quintana Roo, Tabasco, Veracruz"
2012-0401-MEX,Meteorological,"Puerto Escondido city (Dist. Pochutla district, Oaxaca province)",Oaxaca
2013-0188-MEX,Meteorological,"Chiapas, Oaxaca provinces","Chiapas, Oaxaca"
2013-0335-MEX,Meteorological,"Yecuatla, Tuxpan, Atzalan districts (Veracruz province), Oaxaca province","Oaxaca, Veracruz"
2013-0348-MEX,Hydrological,Veracruz province,Veracruz
2013-0358-MEX,Meteorological,"Guerrero, Oaxaca, Jalisco, Michoacan, Sinaloa provinces","Guerrero, Jalisco, Michoacan, Oaxaca, Sinaloa"
2013-0406-MEX,Meteorological,"Veracruz, Hidalgo, Puebla provinces","Hidalgo, Puebla, Veracruz"
2014-0127-MEX,Geophysical,"Guerrero, Morelos, Distrito Federal, Michoacan provinces","Distrito Federal, Guerrero, Michoacan, Morelos"
2014-0183-MEX,Meteorological,"Chiapas, Oaxaca provinces","Chiapas, Oaxaca"
2014-0234-MEX,Geophysical,Chiapas province,Chiapas
2014-0325-MEX,Meteorological,"Oaxaca, Guerrero provinces","Guerrero, Oaxaca"
2014-0333-MEX,Meteorological,"Cabo San Lucas city (Los Cabos area, La Paz district, Baja California Sur province)","Baja California, Baja California Sur"
2014-0385-MEX,Meteorological,"Tamaupilas, Veracruz provinces",Veracruz
2014-0386-MEX,Meteorological,"La Paz district (Bafa California Sur province), Manzanillo district (Colima province), Mazatlan district (Sinaloa province), Baja Peninsula, Chihuahua, Jalisco, Nayarit,","Chihuahua, Colima, Jalisco, Nayarit, Sinaloa"
2014-0417-MEX,Meteorological,"Tlacoachistlahuaca, Huamuxtitlan, Tlalixtaquilla, Malinaltepec districts (Guerrero province), Oaxaca province","Guerrero, Oaxaca"
2015-0121-MEX,Meteorological,"Acuna district (Coahuila province), Veracruz, Oaxaca provinces","Coahuila, Oaxaca, Veracruz"
2015-0187-MEX,Meteorological,Acuna district (Coahuila province),Coahuila
2015-0382-MEX,Hydrological,"Manzanillo district (Colima province), Cihuatlan district (Jalisco province), Morelia, Zamora, Apatzingán districts (Michoacan province), Guerrero province","Colima, Guerrero, Jalisco, Michoacan"
2015-0470-MEX,Meteorological,"Manzanillo district (Colima province), Coahuila, Nuevo leon, Tamaulipas provinces","Coahuila, Colima, Nuevo Leon, Tamaulipas"
2016-0284-MEX,Meteorological,"Puebla, Veracruz provinces","Puebla, Veracruz"
2016-0319-MEX,Meteorological,"Cabo San Lucas city (La Paz district, Baja California Sur province), Oaxaca, Colima, Jalisco provinces","Baja California, Baja California Sur, Colima, Jalisco, Oaxaca"
2016-0325-MEX,Hydrological,Acapulco (Guerrero state); Chiapas state,"Chiapas, Guerrero"
2016-0332-MEX,Hydrological,"Guerrero, Chiapas states","Chiapas, Guerrero"
2016-0333-MEX,Hydrological,Durango city,Durango
2016-0424-MEX,Hydrological,"Ciudad Madero, Tampico, Altamira districts (Tamaulipas province), Catemaco district (Veracruz province), Chihuahua district (Chihuahua province)","Chihuahua, Tamaulipas, Veracruz"
2016-0532-MEX,Hydrological,"Tamaulipas, Veracruz, Chihuahua","Chihuahua, Tamaulipas, Veracruz"
2017-0168-MEX,Meteorological,"Sierra Madre del Sur, Sierra Madre de Chiapas Mountain ranges, Oaxaca State, San Francisco Ozolotepec, San Marcial Ozolotepec, San Pedro Quiatoni, San Carlos Yautepec, Jamiltepec, Juquila, and Pochutla, Tehuantepec in Istmo Region, Juchitan district, San Pablo Topiltepec","Chiapas, Oaxaca"
2017-0334-MEX,Meteorological,"Quintana Roo State (Yucatan Peninsula); Campeche, Tabasco and Chiapas, Lechuguillas (Veracruz state); Puebla, Hidalgo states","Campeche, Chiapas, Hidalgo, Puebla, Quintana Roo, Tabasco, Veracruz, Yucatan"
2017-0376-MEX,Meteorological,"Cabo San Lucas, San Jose del Cabo (Baja California Sur), Comondu, Mulege, La Paz, Los Cabos, Loreto","Baja California, Baja California Sur"
2017-0382-MEX,Geophysical,"Oaxaca (Juchitan), Chiapas (Cintapala),Tabasco states","Chiapas, Oaxaca, Tabasco"
2017-0387-MEX,Geophysical,"Puebla (Puebla, Cholula), Morelos (Cuernavaca, Jojutla), Mexico state, Mexico city (Roma, Reforma, Condesa, Narvarte, Napoles, Lindavista), Guerrero, Oaxaca, Chiapas","Chiapas, Guerrero, Mexico, Morelos, Oaxaca, Puebla"
2017-0392-MEX,Meteorological,"Tecolutla, Xalapa, Jalcomulco",
2017-0498-MEX,Hydrological,"Nuevo Laredo, Madero, Altamira, Tampico, Guemez, Hidalgo (Tamaulipas)","Hidalgo, Tamaulipas"
2018-0315-MEX,Geophysical,Oaxaca,Oaxaca
2018-0367-MEX,Hydrological,"Sinaloa, Sonora, Chihuahua, Michoacan","Chihuahua, Michoacan, Sinaloa, Sonora"
2018-0406-MEX,Meteorological,"Sinaloa, Nayarit, Jalisco, Durango, Zacatec","Durango, Jalisco, Nayarit, Sinaloa"
2018-0421-MEX,Meteorological,Michoacán and Oaxaca,Oaxaca
2019-0225-MEX,Hydrological,San Gabriel municipality (Jalisco state),Jalisco
2019-0297-MEX,Hydrological,Victoria (Tamaulipas),Tamaulipas
2019-0418-MEX,Meteorological,"Baja California Peninsula, coastal Baja California Sur, Jalisco, Sinaloa, Nayarit, Michoacan, Colima States","Baja California, Baja California Sur, Colima, Jalisco, Michoacan, Nayarit, Sinaloa"
2019-0450-MEX,Meteorological,Oaxaca state,Oaxaca
2019-0519-MEX,Meteorological,"Coahuila, Nuevo León, Tamaulipas, San Luis Potosí states","Coahuila, Tamaulipas"
2019-0596-MEX,Hydrological,"Sinaloa, Chihuahua, Sonora, Baja California; Mazatlán (Sinaloa)","Baja California, Chihuahua, Sinaloa, Sonora"
2020-0219-MEX,Meteorological,"Ciudad del Carmen (Campeche State); Quintana Roo, Yucatan, Tabasco, Chiapas Oaxaca, Veracruz states","Campeche, Chiapas, Oaxaca, Quintana Roo, Tabasco, Veracruz, Yucatan"
2020-0281-MEX,Geophysical,South Oaxaca State (Mexico),"Mexico, Oaxaca"
2020-0316-MEX,Meteorological,"Coahuila, Nuevo León,Tamaulipas states","Coahuila, Tamaulipas"
2020-0353-MEX,Hydrological,Filomeno Meta municipality (Veracruz State),Veracruz
2020-0416-MEX,Meteorological,"Tabasco, Quintana Roo, Yucatán, Campeche","Campeche, Quintana Roo, Tabasco"
2020-0474-MEX,Meteorological,"Chiapas, San Cristobal de Las Casas, Tabasco","Chiapas, Tabasco"
2020-0483-MEX,Meteorological,"Quintana Roo, Yucatán, Chiapas, Campeche,Tabasco","Campeche, Chiapas, Quintana Roo, Tabasco"
2020-0506-MEX,Hydrological,"Chiapas, Tabasco, Veracruz","Chiapas, Tabasco, Veracruz"
2021-0122-MEX,Meteorological,"Chihuahua, Tamaulipas","Chihuahua, Tamaulipas"
2021-0325-MEX,Meteorological,"Yage municipality (Central Valley Region, Oaxaca State); Guerrero, Michoacán, Colima, and Jalisco states","Colima, Guerrero, Jalisco, Oaxaca"
2021-0359-MEX,Meteorological,"Guerrero, Michoacán, Colima, Jalisco, and Nayarit states","Colima, Guerrero, Jalisco, Nayarit"
2021-0528-MEX,Meteorological,"Xalapa City (Veracruz State); Tamaulipas state; Huauchinango, Tlaola (Puebla state)","Puebla, Tamaulipas, Veracruz"
2021-0552-MEX,Meteorological,"Michoacan, Colima and Jalisco States","Colima, Jalisco, Michoacan"
2021-0600-MEX,Hydrological,"Hidalgo, Mexico, Morelos, Jalisco states","Hidalgo, Jalisco, Mexico, Morelos"
2021-0602-MEX,Geophysical,Southern Guerrero State,Guerrero
2021-0607-MEX,Hydrological,"Tlayacapan, Ayala, Cuautla, Yautepec, Jonacatepec, Jantetelco, Yecapixtla and Tepalcingo (Morelos State)",Morelos
2021-0647-MEX,Hydrological,"Santiago de Querétaro, San Juan del Río, Tequisquiapan municipalities (Querétaro State)",
2021-0702-MEX,Meteorological,"Guerrero, Michoacán States; Jalisco, Colima, Guanajuato, and Nayarit","Colima, Guanajuato, Guerrero, Jalisco, Nayarit"
2022-0333-MEX,Meteorological,"Coastal and Santiago Xanica (Sierra Sur Regions of Oaxaca); Chiapas, Guerrero, Tabasco, and Veracruz states","Chiapas, Guerrero, Oaxaca, Tabasco, Veracruz"
2022-0572-MEX,Hydrological,"Culiacán, Mocorito, Guasave, and Elota (Sinaloa State); Oaxaca, Coahuila, Tamaulipas, Veracruz and Morelos states","Coahuila, Morelos, Oaxaca, Sinaloa, Tamaulipas, Veracruz"
2022-0579-MEX,Hydrological,Nuevo León State,
2022-0622-MEX,Geophysical,"Mexico; Coalcomán Municipality (Michoacán); Colima, Guerrero Jalisco States.","Colima, Guerrero, Jalisco, Mexico"
2022-0623-MEX,Geophysical,"Colima, Michoacán, Jalisco States","Colima, Jalisco"
2022-0675-MEX,Meteorological,"Tabasco, Veracruz; Pichucalco, Ostuaca Municipalities (Chiapa); Oaxaca states","Oaxaca, Tabasco, Veracruz"
2022-0698-MEX,Meteorological,"Santiago Ixcuintla, Rosamorada (Nayarit state); Jalisco, and Sinaloa","Jalisco, Nayarit, Sinaloa"
2023-0647-MEX,Hydrological,Autlan (Jalisco state),Jalisco
2023-0675-MEX,Meteorological,Acapulco (central Guerrero State),Guerrero
2024-0352-MEX,Meteorological,,
2024-0402-MEX,Meteorological,"Nuevo Leon, Veracruz, Tamaulipas, Coahuila,","Coahuila, Nuevo Leon, Tamaulipas, Veracruz"
2024-0471-MEX,Meteorological,"Veracruz, Mexico city","Mexico, Veracruz"
2024-0665-MEX,Hydrological,"Jilotzingo, Naucalpan (Mexico state)",Mexico
2024-0685-MEX,Meteorological,Tlacoachistlahuaca town (Guerrero state); Michoacan state,"Guerrero, Michoacan"
2024-0693-MEX,Meteorological,Quintana Roo state,Quintana Roo
2024-0722-MEX,Meteorological,Tampa and Sarasota city area; Yucatan,Yucatan
2024-0795-MEX,Meteorological,"Chiapas, Veracruz, and Tabasco states","Chiapas, Tabasco, Veracruz"
2025-0471-MEX,Meteorological,Oaxaca and Guerrero states,"Guerrero, Oaxaca"
2025-0587-MEX,Hydrological,La Martinica (Jalisco State),Jalisco
